-0.5,0.8,0,0,0,-0.01,0
-0.5,0.8,0,0,0,-0.010502,0
-0.5,0.8,0,0,0,-0.011005,0
-0.5,0.8,0,0,0,-0.011507,0
-0.5,0.8,0,0,0,-0.01201,0
-0.5,0.79999,0,0,0,-0.014521,0
-0.5,0.79999,0,0,0,-0.017033,0
-0.5,0.79999,0,0,0,-0.019545,0
-0.5,0.79998,0,0,0,-0.022057,0
-0.5,0.79994,0,0,0,-0.034616,0
-0.5,0.79989,0,0,0,-0.047176,0
-0.5,0.79982,0,0,0,-0.059735,0
-0.5,0.79974,0,0,0,-0.072295,0
-0.5,0.79953,0,0,0,-0.09682,0
-0.5,0.79925,0,0,0,-0.12134,0
-0.5,0.79892,0,0,0,-0.14587,0
-0.5,0.79853,0,0,0,-0.17039,0
-0.5,0.79807,0,0,0,-0.19492,0
-0.5,0.79755,0,0,0,-0.21944,0
-0.5,0.79697,0,0,0,-0.24397,0
-0.5,0.79633,0,0,0,-0.26849,0
-0.5,0.79563,0,0,0,-0.29302,0
-0.5,0.79487,0,0,0,-0.31754,0
-0.5,0.79404,0,0,0,-0.34207,0
-0.5,0.79316,0,0,0,-0.36659,0
-0.5,0.79221,0,0,0,-0.39112,0
-0.5,0.7912,0,0,0,-0.41564,0
-0.5,0.79013,0,0,0,-0.44017,0
-0.5,0.789,0,0,0,-0.46469,0
-0.5,0.78781,0,0,0,-0.48922,0
-0.5,0.78655,0,0,0,-0.51374,0
-0.5,0.78524,0,0,0,-0.53827,0
-0.5,0.78386,0,0,0,-0.56279,0
-0.5,0.78242,0,0,0,-0.58732,0
-0.5,0.78092,0,0,0,-0.61184,0
-0.5,0.77936,0,0,0,-0.63637,0
-0.5,0.77774,0,0,0,-0.66089,0
-0.5,0.77606,0,0,0,-0.68542,0
-0.5,0.77432,0,0,0,-0.70994,0
-0.5,0.77251,0,0,0,-0.73447,0
-0.5,0.77064,0,0,0,-0.75899,0
-0.5,0.76872,0,0,0,-0.78352,0
-0.5,0.76673,0,0,0,-0.80804,0
-0.5,0.76468,0,0,0,-0.83257,0
-0.5,0.76256,0,0,0,-0.85709,0
-0.5,0.76039,0,0,0,-0.88162,0
-0.5,0.75816,0,0,0,-0.90614,0
-0.5,0.75586,0,0,0,-0.93067,0
-0.5,0.7535,0,0,0,-0.95519,0
-0.5,0.75264,0,0,0,-0.96402,0
-0.5,0.75177,0,0,0,-0.97285,0
-0.5,0.75089,0,0,0,-0.98168,0
-0.5,0.75,0,0,0,-0.9905,0
-0.5,0.75,0,0,0,-0.9905,0
-0.5,0.74957,0,0,0,-0.99474,0
-0.5,0.74914,0,0,0,-0.99897,0
-0.5,0.74871,0,0,0,-1.0032,0
-0.5,0.74828,0,0,0,-1.0074,0
-0.5,0.74819,0,0,0,-1.0082,0
-0.5,0.74811,0,0,0,-1.009,0
-0.5,0.74803,0,0,0,-1.0098,0
-0.5,0.74795,0,0,0,-1.0106,0
-0.5,0.74792,0,0,0,-1.0109,0
-0.5,0.74789,0,0,0,-1.0111,0
-0.5,0.74787,0,0,0,-1.0114,0
-0.5,0.74784,0,0,0,-1.0117,0
-0.5,0.74781,4.691e-10,-2.0976e-10,1.4777e-05,-1.0119,4.4206e-05
-0.5,0.74779,2.6436e-09,-1.1818e-09,4.3813e-05,-1.0122,0.00013108
-0.5,0.74776,7.1584e-09,-3.1998e-09,7.2894e-05,-1.0124,0.0002181
-0.5,0.74774,1.3961e-08,-6.2403e-09,9.944e-05,-1.0127,0.00029756
-0.5,0.74771,2.2387e-08,-1.0006e-08,0.00012566,-1.0129,0.00037605
-0.5,0.74768,3.2775e-08,-1.4649e-08,0.00015186,-1.0131,0.00045452
-0.5,0.74766,4.5127e-08,-2.0169e-08,0.00017805,-1.0134,0.00053296
-0.5,0.74763,5.944e-08,-2.6565e-08,0.00020423,-1.0136,0.00061137
-0.5,0.74751,1.6041e-07,-7.1682e-08,0.00033493,-1.0146,0.0010031
-0.5,0.74738,3.1035e-07,-1.3866e-07,0.00046531,-1.0156,0.0013943
-0.5,0.74725,5.0917e-07,-2.2746e-07,0.00059536,-1.0165,0.0017848
-0.5,0.74713,7.5681e-07,-3.3803e-07,0.0007251,-1.0174,0.0021748
-0.5,0.74649,2.7246e-06,-1.2161e-06,0.001369,-1.0203,0.0041159
-0.5,0.74585,5.9019e-06,-2.6322e-06,0.002005,-1.0212,0.0060425
-0.5,0.74521,1.0279e-05,-4.5812e-06,0.0026331,-1.0201,0.0079546
-0.49999,0.74457,1.5848e-05,-7.0579e-06,0.0032535,-1.0171,0.0098524
-0.49998,0.74206,4.9832e-05,-2.2125e-05,0.0056576,-0.98544,0.017298
-0.49997,0.73967,0.00010215,-4.5215e-05,0.0079442,-0.92415,0.024522
-0.49994,0.73747,0.00017226,-7.5999e-05,0.010119,-0.83569,0.03153
-0.49992,0.73551,0.00025963,-0.00011414,0.012187,-0.72343,0.038329
-0.49988,0.73387,0.00036374,-0.00015929,0.014154,-0.59138,0.044925
-0.49985,0.73257,0.00048409,-0.00021109,0.016025,-0.44406,0.051322
-0.4998,0.73165,0.00062019,-0.00026918,0.017805,-0.28635,0.057526
-0.49976,0.73114,0.00077156,-0.00033317,0.019497,-0.12332,0.063543
-0.49975,0.73111,0.00078723,-0.00033976,0.019658,-0.10722,0.064123
-0.49975,0.73109,0.00080304,-0.00034639,0.019819,-0.091129,0.064702
-0.49974,0.73107,0.00081899,-0.00035308,0.019979,-0.075043,0.06528
-0.49974,0.73105,0.00083508,-0.00035983,0.020138,-0.05897,0.065855
