0.000000000000000000e+00,0.000000000000000000e+00,3.500000000000000000e+02
1.010101010101010083e-01,9.607608379252931263e-02,3.451961958103735810e+02
2.020202020202020166e-01,1.829215694373779177e-01,3.408539215281311385e+02
3.030303030303030387e-01,2.614232916399195639e-01,3.369288354180039846e+02
4.040404040404040331e-01,3.323828436245150342e-01,3.333808578187742455e+02
5.050505050505050830e-01,3.965248929878201767e-01,3.301737553506090990e+02
6.060606060606060774e-01,4.545044249490287624e-01,3.272747787525486274e+02
7.070707070707070718e-01,5.069135097681102264e-01,3.246543245115945524e+02
8.080808080808080662e-01,5.542873305142054230e-01,3.222856334742897957e+02
9.090909090909090606e-01,5.971096437799208179e-01,3.201445178110040501e+02
1.010101010101010166e+00,6.358177989982318756e-01,3.182091100500884977e+02
1.111111111111111160e+00,6.708070161128707465e-01,3.164596491943565866e+02
1.212121212121212155e+00,7.024346007090952471e-01,3.148782699645453249e+02
1.313131313131313149e+00,7.310235238668406632e-01,3.134488238066580266e+02
1.414141414141414144e+00,7.568657374645941793e-01,3.121567131267703417e+02
1.515151515151515138e+00,7.802251300454776661e-01,3.109887434977261478e+02
1.616161616161616132e+00,8.013402431495436629e-01,3.099329878425228344e+02
1.717171717171717127e+00,8.204266993678885900e-01,3.089786650316056011e+02
1.818181818181818121e+00,8.376794065839107128e-01,3.081160296708044939e+02
1.919191919191919116e+00,8.532745388165121625e-01,3.073362730591744025e+02
2.020202020202020332e+00,8.673713519953987205e-01,3.066314324002300964e+02
2.121212121212121104e+00,8.801137968538498280e-01,3.059943101573075523e+02
2.222222222222222321e+00,8.916319974863254894e-01,3.054184001256837746e+02
2.323232323232323093e+00,9.020435754473367096e-01,3.048978212276331874e+02
2.424242424242424310e+00,9.114548475369828040e-01,3.044272576231509220e+02
2.525252525252525082e+00,9.199619218191144032e-01,3.040019039090443016e+02
2.626262626262626299e+00,9.276516702355228627e-01,3.036174164882239097e+02
2.727272727272727071e+00,9.346026162555133299e-01,3.032698691872243444e+02
2.828282828282828287e+00,9.408857431319846976e-01,3.029557128434007609e+02
2.929292929292929060e+00,9.465652138538206417e-01,3.026717393073089397e+02
